"term","estimate","std.error","statistic","p.value","conf.low","conf.high","model"
"(Intercept)",0.018842471059453,0.207687244843912,-19.123186217581,1.61907989761258e-81,0.0125416348920472,0.0283088065218241,"pri"
"expo",0.981019075996423,0.16664397955366,-0.11499589842367,0.908448373061,0.707668459638481,1.3599566497008,"pri"
"I(time)",0.983533308647673,0.0171524955069394,-0.96800924734361,0.333039751391877,0.951018229639254,1.017160070198,"pri"
"I(timesqr)",1.00058805138018,0.000523080367321651,1.12387805478416,0.261064762318042,0.999562755484008,1.00161439896787,"pri"
"SexM",0.798987439611791,0.0994428413692694,-2.25667378752317,0.024028465922942,0.657497418562274,0.970925376487911,"pri"
"time_af_index",0.998110735342676,0.0045540706885847,-0.415244228317293,0.677963124379553,0.989241425826689,1.00705956503365,"pri"
"dx.pvd",1.4931953573539,0.165650955660831,2.42025986063085,0.015509419364656,1.07923067761309,2.06594606831828,"pri"
"dx.liver_mild",1.02824727077409,0.276484544829959,0.100749479138071,0.919749332492389,0.598072032699017,1.7678346286867,"pri"
"dx.ra",0.346410656188384,0.530098389847868,-1.99987466553656,0.0455137994503609,0.122566187049537,0.979065642895189,"pri"
"dx.dm_com0",1.52061538442881,0.103324281364506,4.05630801944343,0.0000498545042873973,1.24185128857946,1.86195494470723,"pri"
"dx.htn",2.1082196537867,0.177477150995884,4.20247801564342,0.0000264008895432673,1.48883658765391,2.98527732692023,"pri"
"dx.constipation",1.23238106215176,0.111896035475014,1.86734159163365,0.0618539007364107,0.989689443438131,1.53458551308194,"pri"
"antiplatelet",0.87984159869054,0.114114863549443,-1.12179417490742,0.261949963536477,0.703509138925329,1.10037126165676,"pri"
"(Intercept)",0.0267028754245076,0.260023385233728,-13.9333007387628,3.97549786743279e-44,0.0160407888790259,0.0444519007957963,"F"
"expo",0.89987940997587,0.233024577506577,-0.452718398546889,0.650751529439508,0.569945638943352,1.420807349276,"F"
"I(time)",0.974818446573023,0.0234154208438381,-1.08919818851076,0.276066497605202,0.931091788278492,1.02059863027684,"F"
"I(timesqr)",1.00111826605183,0.00072228942514444,1.54735929835421,0.121776630100142,0.999702024401952,1.00253651403997,"F"
"time_af_index",0.988918519054411,0.00651664782597537,-1.70998007807975,0.0872695570377764,0.976367981894987,1.00163038471488,"F"
"dx.pvd",1.77591922128105,0.244666692512144,2.34734917992217,0.0189075261365298,1.09941723656997,2.86869168101746,"F"
"dx.liver_mild",0.211678411327733,0.732018600277801,-2.12110332048929,0.0339131085882869,0.0504174881863342,0.888734275230676,"F"
"dx.ra",29.4679476732643,1.23976890275865,2.72897888112603,0.00635307724063075,2.5945179921929,334.690274913184,"F"
"dx.dm_com0",1.51133859681316,0.141971371549605,2.90900722854455,0.00362578476469006,1.14423577758678,1.99621826109519,"F"
"dx.htn",1.76624641188756,0.225060375725399,2.52757341977625,0.011485380689185,1.13626480117295,2.74551001164988,"F"
"dx.constipation",1.36811570865254,0.156232410942571,2.00620598556234,0.0448342755314276,1.00725065896049,1.85826693247689,"F"
"antiplatelet",0.826625137074229,0.145908564882245,-1.30495401224069,0.191908507658354,0.621027757879735,1.10028756134169,"F"
"(Intercept)",0.00823562304999225,0.341785054975627,-14.041825965106,8.64559749092338e-45,0.00421471773039662,0.0160925336784489,"M"
"expo",1.00743668919245,0.239504288259687,0.0309354517484488,0.975321017037947,0.630015658099718,1.61095787014616,"M"
"I(time)",0.993174840081067,0.0255364264897043,-0.268187792426353,0.788554771155075,0.944689446009086,1.04414870636817,"M"
"I(timesqr)",1.00001936132919,0.000767819107140389,0.0252157592601174,0.979882866881282,0.998515566208518,1.00152542121151,"M"
"time_af_index",1.01828252440478,0.0071405450496895,2.53725848420402,0.011172442793416,1.00413070532387,1.03263379359934,"M"
"dx.pvd",1.34797726076796,0.223955530324316,1.33332337472943,0.182425706096162,0.869063025314514,2.0908065843555,"M"
