"term","estimate","std.error","statistic","p.value","conf.low","conf.high","model"
"expo",0.89987940997587,0.233024577506577,-0.452718398546889,0.650751529439508,0.569945638943352,1.420807349276,"F_inc"
"I(time)",0.974818446573023,0.0234154208438381,-1.08919818851076,0.276066497605202,0.931091788278492,1.02059863027684,"F_inc"
"I(timesqr)",1.00111826605183,0.00072228942514444,1.54735929835421,0.121776630100142,0.999702024401952,1.00253651403997,"F_inc"
"time_af_index",0.988918519054411,0.00651664782597537,-1.70998007807975,0.0872695570377764,0.976367981894987,1.00163038471488,"F_inc"
"dx.pvd",1.77591922128105,0.244666692512144,2.34734917992217,0.0189075261365298,1.09941723656997,2.86869168101746,"F_inc"
"dx.liver_mild",0.211678411327733,0.732018600277801,-2.12110332048929,0.0339131085882869,0.0504174881863342,0.888734275230676,"F_inc"
"dx.ra",29.4679476732643,1.23976890275865,2.72897888112603,0.00635307724063075,2.5945179921929,334.690274913184,"F_inc"
"dx.dm_com0",1.51133859681316,0.141971371549605,2.90900722854455,0.00362578476469006,1.14423577758678,1.99621826109519,"F_inc"
"dx.htn",1.76624641188756,0.225060375725399,2.52757341977625,0.011485380689185,1.13626480117295,2.74551001164988,"F_inc"
"dx.constipation",1.36811570865254,0.156232410942571,2.00620598556234,0.0448342755314276,1.00725065896049,1.85826693247689,"F_inc"
"antiplatelet",0.826625137074229,0.145908564882245,-1.30495401224069,0.191908507658354,0.621027757879735,1.10028756134169,"F_inc"
"(Intercept)",0.00823562304999225,0.341785054975627,-14.041825965106,8.64559749092338e-45,0.00421471773039662,0.0160925336784489,"M_inc"
"expo",1.00743668919245,0.239504288259687,0.0309354517484488,0.975321017037947,0.630015658099718,1.61095787014616,"M_inc"
"I(time)",0.993174840081067,0.0255364264897043,-0.268187792426353,0.788554771155075,0.944689446009086,1.04414870636817,"M_inc"
"I(timesqr)",1.00001936132919,0.000767819107140389,0.0252157592601174,0.979882866881282,0.998515566208518,1.00152542121151,"M_inc"
"time_af_index",1.01828252440478,0.0071405450496895,2.53725848420402,0.011172442793416,1.00413070532387,1.03263379359934,"M_inc"
"dx.pvd",1.34797726076796,0.223955530324316,1.33332337472943,0.182425706096162,0.869063025314514,2.0908065843555,"M_inc"
"dx.liver_mild",3.04141218326493,0.305559907059226,3.64027451189385,0.000272347524810065,1.67102218928215,5.53564646109583,"M_inc"
"dx.ra",0.176276291813156,0.74111158060267,-2.34202611379457,0.0191793729257586,0.0412437917105979,0.753406264715775,"M_inc"
"dx.dm_com0",1.67435855594276,0.153808750666309,3.35111063592593,0.000804881387110949,1.23858615119354,2.2634489907361,"M_inc"
"dx.htn",2.80678373713274,0.296582503224582,3.4797711903531,0.000501842180485862,1.56948607580136,5.01949973847993,"M_inc"
"dx.constipation",1.15801661050462,0.161035442367212,0.911033751471837,0.362277590424166,0.844580736910419,1.5877729761043,"M_inc"
"antiplatelet",0.793892904571763,0.192928822669618,-1.19633087752512,0.231567463748359,0.543926989431883,1.15873261701481,"M_inc"
